Date,Close,High,Low,Open,Volume
2020-01-01T00:00:00.000,12182.5,12222.2002,12165.2998,12202.15039,304100
2020-01-02T00:00:00.000,12282.2002,12289.90039,12195.25,12198.5498,407700
2020-01-03T00:00:00.000,12226.65039,12265.59961,12191.34961,12261.09961,428800
2020-01-06T00:00:00.000,11993.0498,12179.09961,11974.2002,12170.59961,396500
2020-01-07T00:00:00.000,12052.9502,12152.15039,12005.34961,12079.09961,447800
2020-01-08T00:00:00.000,12025.34961,12044.9502,11929.59961,11939.09961,446000
2020-01-09T00:00:00.000,12215.90039,12224.0498,12132.5498,12153.15039,477500
2020-01-10T00:00:00.000,12256.7998,12311.2002,12213.2002,12271,660600
2020-01-13T00:00:00.000,12329.5498,12337.75,12285.7998,12296.7002,501000
2020-01-14T00:00:00.000,12362.2998,12374.25,12308.7002,12333.09961,616300
2020-01-15T00:00:00.000,12343.2998,12355.15039,12278.75,12349.40039,684400
2020-01-16T00:00:00.000,12355.5,12389.0498,12315.7998,12347.09961,395700
2020-01-17T00:00:00.000,12352.34961,12385.4502,12321.40039,12328.40039,502100
2020-01-20T00:00:00.000,12224.5498,12430.5,12216.90039,12430.5,491600
2020-01-21T00:00:00.000,12169.84961,12230.0498,12162.2998,12195.2998,400
2020-01-22T00:00:00.000,12106.90039,12225.0498,12087.90039,12218.34961,500
2020-01-23T00:00:00.000,12180.34961,12189,12094.09961,12123.75,867700
2020-01-24T00:00:00.000,12248.25,12272.15039,12149.65039,12174.5498,593200
2020-01-27T00:00:00.000,12119,12216.59961,12107,12197.09961,441200
2020-01-28T00:00:00.000,12055.7998,12163.5498,12024.5,12148.09961,478500
2020-01-29T00:00:00.000,12129.5,12169.59961,12103.7998,12114.90039,514400
2020-01-30T00:00:00.000,12035.7998,12150.2998,12010.59961,12147.75,538100
2020-01-31T00:00:00.000,11962.09961,12103.5498,11945.84961,12100.40039,771300
2020-02-03T00:00:00.000,11707.90039,11749.84961,11614.5,11627.4502,669800
2020-02-04T00:00:00.000,11979.65039,11986.15039,11783.40039,11786.25,560400
2020-02-05T00:00:00.000,12089.15039,12098.15039,11953.34961,12005.84961,758000
2020-02-06T00:00:00.000,12137.9502,12160.59961,12084.65039,12120,565100
2020-02-07T00:00:00.000,12098.34961,12154.7002,12073.9502,12151.15039,473500
2020-02-10T00:00:00.000,12031.5,12103.5498,11990.75,12102.34961,524700
2020-02-11T00:00:00.000,12107.90039,12172.2998,12099,12108.40039,480000
2020-02-12T00:00:00.000,12201.2002,12231.75,12144.2998,12151,411700
2020-02-13T00:00:00.000,12174.65039,12225.65039,12139.7998,12219.5498,501200
2020-02-14T00:00:00.000,12113.4502,12246.7002,12091.2002,12190.15039,622800
2020-02-17T00:00:00.000,12045.7998,12159.59961,12037,12131.7998,0
2020-02-18T00:00:00.000,11992.5,12030.75,11908.0498,12028.25,676900
