Price,Close,High,Low,Open,Volume
Ticker,NHPC.NS,NHPC.NS,NHPC.NS,NHPC.NS,NHPC.NS
Date,,,,,
2021-01-01,19.193756103515625,19.401480733240227,18.819851136086086,18.819851136086086,22170816
2021-01-04,20.44010353088379,20.564737989615804,19.235300065243674,19.401480400095114,27770978
2021-01-05,20.44010353088379,21.27100203551473,20.398557654764367,20.77246261577354,25695561
2021-01-06,20.273921966552734,20.772461356060802,20.024653064205218,20.56473674250019,9786844
2021-01-07,20.60628318786621,20.647829065814193,20.39855855256589,20.564738894731427,5761708
2021-01-08,20.855554580688477,21.14636939933655,20.772464406101417,20.855554580688477,12496609
2021-01-11,20.855554580688477,21.187913694223447,20.68937423151436,21.104823519636387,11767595
2021-01-12,20.73091697692871,20.855551427559313,20.64782681490397,20.77246126553457,5104689
2021-01-13,20.60628318786621,20.85555370111451,20.48164872364866,20.772463530031743,10373982
2021-01-14,20.689373016357422,20.938643525478096,20.64782872391056,20.814007478511172,9485093
2021-01-15,20.647829055786133,20.938643862027977,20.35701424954429,20.68937334890074,26394818
2021-01-18,20.273921966552734,20.772461356060802,19.94156290181837,20.772461356060802,5367707
2021-01-19,20.44010353088379,20.606282280922102,20.27392319603235,20.315469072151775,2832892
2021-01-20,20.44010353088379,20.77246261577354,20.19083302860663,20.398557654764367,4430300
2021-01-21,20.44010353088379,20.897097074505556,20.315469072151775,20.77246261577354,4686061
2021-01-22,20.107744216918945,20.606282046167475,20.06619834127283,20.606282046167475,4533892
2021-01-25,19.69229507446289,20.31546894916345,19.609204907540192,20.23237878224075,3405030
2021-01-27,19.484569549560547,19.775382743137506,19.318389223391105,19.650748290916944,4601592
2021-01-28,19.110666275024414,19.52611554187277,19.027576104692105,19.318390908448592,4696896
2021-01-29,19.941564559936523,20.3154695293606,19.152210328847104,19.235300498142806,11914540
2021-02-01,19.69229507446289,20.35701324021824,19.567659031672285,20.35701324021824,5960623
2021-02-02,19.359935760498047,20.14929002423888,19.193756999845867,19.816930918121297,18656454
2021-02-03,19.526113510131836,19.65074796025518,19.3599331867587,19.40147906000849,6419331
2021-02-04,20.06619644165039,20.149286600263554,19.484568500984167,19.650747233397535,5568639
